TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
0,1673,img/8565.jpg,8565,27394,,3155,527,571,565,,,3290,807,3238.25,903.25,,1,1,1,1,1,4,4,0
0,1673,img/8559.jpg,8559,28222,,1188,460.125,166,205.875,1220.833333,573.5,1259.714286,561.2857143,1234.923077,614.8461538,,1,1,1,0,1,4,4,1
0,1673,img/8579.jpg,8579,27127,,573.4285714,252.5714286,125.1428571,161.4285714,622.2,340.8,664.6666667,337.6666667,647.1538462,370.3076923,0.11244,1,1,1,1,1,4,4,1
0,1673,img/8558.jpg,8558,26484,,102.25,73.25,200,257.5,196.6666667,199,265.8571429,196.7142857,243.3333333,246.8333333,7.89891,1,0,0,1,1,4,4,1
0,1673,frame/29930_00060.png,29930,14745,60,195.625,98,75,92.75,212.5,143.5,242.1666667,143.1666667,224.3333333,159.5,-13.6772,1,1,1,1,1,4,4,0
0,1673,frame/29930_00120.png,29930,14746,120,89.57142857,53,134.4285714,151.1428571,181.6,148.4,211.8333333,130.3333333,214.6153846,167.8461538,12.4717,1,1,1,1,1,4,,0
0,1673,frame/29930_00180.png,29930,14747,180,92,50,115.3333333,170,141.6,169.6,183.1666667,162.3333333,165.3333333,196.8333333,0,1,1,1,1,1,4,,0
0,1673,frame/29930_00240.png,29930,14748,240,103.7142857,62,124,143.4285714,185.8,155.6,213.5,137.6666667,215.8333333,168.3333333,,1,1,1,1,1,4,4,0
0,1673,frame/29930_00300.png,29930,14749,300,148,50,98.28571429,124.2857143,,,176.6666667,120.1666667,158.1428571,141.4285714,-32.9558,1,1,1,1,1,4,4,0
0,1673,frame/29930_00360.png,29930,14750,360,169.5714286,55,100.8571429,131,222.8333333,120.8333333,258.4285714,121.4285714,245.8461538,143.6153846,22.0988,1,1,1,1,1,4,4,0
0,1673,frame/29930_00390.png,29930,14751,390,150.7142857,58.71428571,102.2857143,127.8571429,,,184.5714286,125.1428571,163.6923077,148.8461538,-35.4175,1,1,1,1,1,4,4,0
0,1673,frame/29930_00450.png,29930,14752,450,153,56.33333333,103.6666667,129.3333333,167.5,125.1666667,195.5,123.5,175.4615385,149.4615385,-28.066,1,1,1,1,1,4,4,0
0,1673,frame/29985_00000.png,29985,9263,0,148.4285714,50.85714286,72.85714286,104.1428571,160.7647059,109.3529412,184.5,106.5,171.3636364,127.7272727,-25.4191,1,0,1,1,1,4,4,1
0,1673,frame/29985_00060.png,29985,9264,60,137.6666667,35.33333333,109,148.3333333,161.8,140.4,192.4285714,139.1428571,182.4,162,,1,0,0,1,1,4,4,
0,1673,frame/29985_00090.png,29985,9265,90,145,34,109,152.5,168,135.5,199.1666667,130.6666667,185.5833333,160.5,,1,0,0,1,1,4,4,0
0,1673,frame/29985_00150.png,29985,9266,150,115,44.4,111.8,154,137.8,153.6,168.3333333,146.5,156.6363636,174.7272727,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00210.png,29985,9267,210,149.875,43.375,115.125,150.875,163.8,145.2,190.5,141.5,179.9230769,168.3076923,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00270.png,29985,9268,270,135.7142857,43.71428571,102.5714286,149.2857143,155.4,147.6,184,144,173.3846154,169.9230769,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00321.png,29985,9269,321,128.2857143,35.57142857,120,146.8571429,159.3333333,132.5,191.25,125.75,178.9090909,154.9090909,,0,0,1,1,1,4,4,0
0,1673,frame/29985_00381.png,29985,9270,381,126.2857143,42,117.4285714,155,152,150,176.8333333,146.6666667,164.7272727,172.5454545,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00441.png,29985,9271,441,129.2,46.8,108.8,148.2,155,150.2857143,183,146.2,169.7777778,173,,1,0,1,1,1,4,,0
0,1673,frame/29985_00480.png,29985,9272,480,133.7142857,45.85714286,104.5714286,147.8571429,153.2,149.8,182.5714286,144.7142857,170.8,172.9,,1,0,1,1,1,4,4,0
0,1673,frame/29985_00540.png,29985,9273,540,146.3333333,31.33333333,103.6666667,140,159.4,114.6,189.1666667,112.1666667,169.3846154,140.0769231,-31.8954,1,0,1,1,1,4,4,1
43,660,img/7283.jpg,7283,25033,,1039.333333,161.6666667,430.8333333,423.8333333,,,1116.888889,370.2222222,1084.875,443.75,,0,0,1,0,1,3,4,1
43,660,img/7308.jpg,7308,22793,,328,535,129,127,424,575,,,437,614,,,,,1,1,3,,0
43,660,img/7271.jpg,7271,24940,,1575,338.2857143,537.8571429,673.7142857,1733.636364,695.2727273,1904.8,666.6,1823.666667,805.5833333,-15.4154,1,1,1,1,1,3,3,3
43,660,img/7270.jpg,7270,22525,,2284,431,353,500,,,2333,554,2346,724,,,,,1,1,3,,0
43,660,img/7282.jpg,7282,27650,,1990,269,457,461,2168.7,487.3,2280.909091,478.8181818,2231.916667,559.1666667,1.14507,0,0,1,1,1,3,3,1
43,660,img/7277.jpg,7277,25320,,1277.6,260,240,301.2,1414.454545,389.5454545,1479.2,391.1,1456,440.8461538,23.7984,0,0,1,0,1,3,3,1
43,660,img/7278.jpg,7278,29506,,18.33333333,56,115,130,95,122.7692308,118.9,124.4,112.1666667,147.0833333,25.6996,0,1,1,1,1,3,2,0
43,660,frame/29715_00060.png,29715,12973,60,143,45.66666667,68.33333333,69,175.8,79.7,198.625,79.25,190,91.18181818,8.92045,0,0,1,1,1,3,3,1
43,660,frame/29715_00120.png,29715,12974,120,154,43.33333333,75.33333333,69,196.7777778,77.22222222,216.2222222,77.88888889,208,88.5,,0,0,1,1,1,3,3,1
43,660,frame/29738_00000.png,29738,2153,0,234.7142857,36.42857143,70.57142857,82.85714286,278.7,81.1,296.0909091,81.27272727,289.5,96.83333333,29.0512,0,1,1,1,1,3,3,1
43,660,frame/29738_00060.png,29738,2154,60,222.8571429,40.42857143,73.28571429,93.28571429,248.2,101.4,270.625,103,257,117.9166667,,0,1,1,1,1,3,4,1
43,660,frame/29738_00097.png,29738,2155,97,272,35.8,69.6,89.6,288.8,91.1,310.2,95.7,295.2727273,108.5454545,,0,1,1,1,1,3,,1
43,660,frame/29738_00157.png,29738,2156,157,219.6666667,29.66666667,67.66666667,92.66666667,245.8,92.6,267.6666667,93.55555556,256.4,108.4,0,0,1,1,1,1,3,,1
43,660,frame/29738_00217.png,29738,2157,217,231.6666667,27.66666667,66.66666667,96,260.3333333,93.41666667,282.7777778,95.77777778,269.6153846,110.0769231,0,0,1,1,1,1,3,3,1
43,660,frame/29738_00277.png,29738,2158,277,266.1666667,25,69,96,289.3636364,91.27272727,290,90,296.3846154,108.0769231,0,0,1,1,1,1,3,3,1
