TEMPLATE_ID,SUBJECT_ID,FILE,MEDIA_ID,SIGHTING_ID,FRAME,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_BASE_X,NOSE_BASE_Y,FACE_YAW,FOREHEAD_VISIBLE,EYES_VISIBLE,NOSE_MOUTH_VISIBLE,INDOOR,GENDER,SKIN_TONE,AGE,FACIAL_HAIR
12,3273,img/36541.jpg,36541,71046,,1912,338,1253,1521,2183.2,1006.2,2588.2,945.6,,,-11.7811,1,1,1,1,1,1,2,3
13,3273,img/36542.jpg,36542,71047,,38,24,168,233,115.6,151.8,179,151.4,,,7.20656,1,1,1,1,1,1,2,0
14,3273,img/36543.jpg,36543,71048,,113,111,576,768,325.4,494.8,543.4,497.4,,,12.3745,1,1,1,0,1,1,2,3
15,3273,img/36544.jpg,36544,71049,,113,44,1311,1710,711.2,947.6,1129,874,992.5,1189.25,14.3185,1,1,1,1,1,1,3,3
16,3273,img/36545.jpg,36545,71050,,1966,261,1235,1634,2231.166667,1068.666667,2626.666667,1152.666667,,,-9.69335,1,1,1,1,1,1,2,3
17,3273,frame/36540_00000.png,36540,71029,0,584,3,288,409,739,217,830,224.8,,,21.5589,1,1,1,1,1,1,2,
17,3273,frame/36540_00060.png,36540,71030,60,636,22,267,361,758.8,199.2,846.6,220.4,,,12.531,1,1,1,1,1,1,3,2
17,3273,frame/36540_00120.png,36540,71031,120,416,32,272,345,452.25,216,536.8333333,195.6666667,,,-30.1473,1,1,1,1,1,1,2,1
17,3273,frame/36540_00180.png,36540,71032,180,457,44,294,332,578,218.5,674.25,196.25,,,8.20771,1,1,1,1,1,1,2,1
17,3273,frame/36540_00240.png,36540,71033,240,441,8,337,408,612.8,237.2,709.8,200,,,7.04618,1,1,1,1,1,1,3,0
17,3273,frame/36540_00300.png,36540,71034,300,448,41,313,385,590.6,261.8,689.8333333,223,670.8,309.4,6.0088,1,1,1,1,1,1,2,
17,3273,frame/36540_00330.png,36540,71035,330,449,30,316,395,596.4,263.2,697,223.6,,,6.4251,1,1,1,1,1,1,3,1
17,3273,frame/36540_00390.png,36540,71036,390,489,48,302,409,633,287.4,727.3333333,257,,,16.1084,1,1,1,1,1,1,2,2
17,3273,frame/36540_00450.png,36540,71037,450,489,24,297,436,633.6,290.6,730,260.8,701.8,351.6,9.3216,1,1,1,1,1,1,2,
17,3273,frame/36540_00510.png,36540,71038,510,478,12,307,424,627.75,261,725.5714286,238.8571429,695.6,328.2,14.6744,1,1,1,1,1,1,2,0
17,3273,frame/36540_00570.png,36540,71039,570,489,32,297,406,628.8,262,730.2,237.2,,,8.81149,1,1,1,1,1,1,3,0
17,3273,frame/36540_00630.png,36540,71040,630,504,33,296,385,649.8333333,230.5,749.2,205.2,728.8,290,15.6141,1,1,1,1,1,1,3,2
17,3273,frame/36540_00690.png,36540,71041,690,500,33,320,404,642.2,259,744.2,238.6,,,11.1244,1,1,0,1,1,1,2,0
17,3273,frame/36540_00750.png,36540,71042,750,632,36,348,436,803.5,266.5,904.5,293,,,16.2295,1,1,1,1,1,1,2,
17,3273,frame/36540_00780.png,36540,71043,780,518,57,284,396,655.4,252.6,748.2,297.2,,,18.2327,1,1,1,1,1,1,2,
17,3273,frame/36540_00840.png,36540,71044,840,534,76,297,401,669.8,282,764,320.5,,,17.9805,1,1,1,1,1,1,3,0
17,3273,frame/36540_00900.png,36540,71045,900,368,64,318,387,436.8,273,529.6,260,,,-23.8373,1,1,1,1,1,1,3,0
18,3273,frame/36547_00000.png,36547,71052,0,117,77,87,93,186.4444444,121,,,,,,1,1,1,1,1,1,3,3
18,3273,frame/36547_00060.png,36547,71053,60,137,78,82,90,197.6,127.6,,,,,,1,1,1,1,1,1,3,3
18,3273,frame/36547_00120.png,36547,71054,120,203,26,114,174,225.3333333,114.8888889,265,123.2,,,-17.613,1,1,1,1,1,1,2,3
18,3273,frame/36547_00180.png,36547,71055,180,244,22,118,153,265,95.71428571,302,96.8,,,-18.6623,1,1,1,1,1,1,2,3
18,3273,frame/36547_00240.png,36547,71056,240,242,44,125,162,303,138,340,130.3333333,328.4,159.2,9.15813,1,1,1,1,1,1,2,3
18,3273,frame/36547_00300.png,36547,71057,300,264,35,121,155,339,115.2,373,110.8,,,24.923,1,1,1,1,1,1,2,3
18,3273,frame/36547_00330.png,36547,71058,330,275,34,115,151,295.4,111.6,332,105.6,,,-20.0212,1,1,1,1,1,1,3,3
18,3273,frame/36547_00390.png,36547,71059,390,276,35,132,156,302.2,108.4,337.2,113,,,-21.1979,1,1,1,1,1,1,2,3
18,3273,frame/36547_00450.png,36547,71060,450,284,38,114,159,343.5,111.1666667,381.2,113.8,,,20.4446,1,1,1,1,1,1,2,3
18,3273,frame/36547_00510.png,36547,71061,510,241,40,132,165,,,276.6,120.2,254.8,148.8,,1,1,1,1,1,1,3,3
18,3273,frame/36547_00570.png,36547,71062,570,254,37,117,167,296.8,128,336.8,126.2,,,0.00550456,1,1,1,1,1,1,,3
18,3273,frame/36547_00630.png,36547,71063,630,280,43,114,158,331.8,124.8,370.1666667,127.8333333,,,12.6959,1,1,1,1,1,1,3,3
18,3273,frame/36547_00690.png,36547,71064,690,262,42,119,154,286.2857143,115.1428571,323.8,113.6,301.4,139.6,-18.6135,1,1,1,1,1,1,3,3
18,3273,frame/36547_00750.png,36547,71065,750,258,33,126,180,327,125.2,366.2,122.4,352,150.2,21.0826,1,1,1,1,1,1,3,3
18,3273,frame/36547_00780.png,36547,71066,780,127,68,133,155,142.2,143.2,171.8,148,147.4,172.2,-34.6989,1,1,1,0,1,1,2,3
18,3273,frame/36547_00840.png,36547,71067,840,274,29,119,164,304.6,114.4,342.6,114.6,,,-13.4035,1,1,1,1,1,1,,3
18,3273,frame/36547_00900.png,36547,71068,900,264,32,121,164,331.8333333,121.6666667,369.8333333,118,,,20.7264,1,1,1,1,1,1,3,3
19,3273,img/36541.jpg,36541,71046,,1912,338,1253,1521,2183.2,1006.2,2588.2,945.6,,,-11.7811,1,1,1,1,1,1,2,3
19,3273,img/36542.jpg,36542,71047,,38,24,168,233,115.6,151.8,179,151.4,,,7.20656,1,1,1,1,1,1,2,0
20,3273,img/36543.jpg,36543,71048,,113,111,576,768,325.4,494.8,543.4,497.4,,,12.3745,1,1,1,0,1,1,2,3
20,3273,img/36544.jpg,36544,71049,,113,44,1311,1710,711.2,947.6,1129,874,992.5,1189.25,14.3185,1,1,1,1,1,1,3,3
20,3273,img/36545.jpg,36545,71050,,1966,261,1235,1634,2231.166667,1068.666667,2626.666667,1152.666667,,,-9.69335,1,1,1,1,1,1,2,3
20,3273,frame/36540_00000.png,36540,71029,0,584,3,288,409,739,217,830,224.8,,,21.5589,1,1,1,1,1,1,2,
20,3273,frame/36540_00060.png,36540,71030,60,636,22,267,361,758.8,199.2,846.6,220.4,,,12.531,1,1,1,1,1,1,3,2
20,3273,frame/36540_00120.png,36540,71031,120,416,32,272,345,452.25,216,536.8333333,195.6666667,,,-30.1473,1,1,1,1,1,1,2,1
